    #Configuration:
    CALCULUS_METHOD:    1               # 0: basic, 1: jerk, 2:basic_Schwarzschild, 3: jerk_Schwarzschild
    SIMULATION_STEPS:   288000000
    STEPS_PER_PLOT:     240             # 4*60
    STEP_TIME:          60              # Seconds
    START_EPOCH_TIME:   1520294400      # Epoc of 2018-Mar-06 00:00:00.0000 TDB. 
    METERS_PER_PIXEL:   1.0e-10         # UNIX Epoch time is the number of seconds that have elapsed since 
                                        # 00:00:00 Coordinated Universal Time (UTC), Thursday, 1 January 1970. 
                                        # [https://en.wikipedia.org/wiki/Unix_time]
    MAX_ORBIT_POINTS:   50000           # Avoid hard graphic computing, try to use less than 10000
    SCREEN_PERCENT:     50              # Size of screen in % 
    SCREEN_RESIZABLE:   true            # true or false
    COLOR_SCREEN:       21,21,21        # Screen color in R,G,B
    COLOR_DATE:         255,0,0         # Screen color in R,G,B
    COLOR_SCALE:        0,255,0         # Screen color in R,G,B
    COLOR_ANGLE:        102,255,255     # Screen color in R,G,B    
#   SYSTEM_SPEED_X:     0               # System speed x in (km/s)
#   SYSTEM_SPEED_Y:     0               # System speed y in (km/s)
#   SYSTEM_SPEED_Z:     -200            # System speed z in (km/s)

#   Name,    mass (Kg),   radio(m),               x0 (km) ,               y0 (km) ,                z0 (km),             vx0 (km/s),             vy0 (km/s),             vz0 (km/s),   R,   G,   B"""
SUN             ,  1.98847449235295491E+30,  6.95700000000000000E+08,  2.11516339518936293E+05,  9.62939599157782621E+05, -1.65837846481093475E+04, -1.08774087362059103E-02,  7.89567604308217055E-03,  2.58829858296729287E-04, 255, 255, 255
MERCURY         ,  3.30109464774269867E+23,  2.44000000000000000E+06,  3.06529054570759274E+07,  3.66831772727418244E+07,  1.09554838583100587E+05, -4.67460561243973274E+01,  3.36249246498437486E+01,  7.03467321462041983E+00, 255, 255, 255
VENUS           ,  4.86746399666494982E+24,  6.05184000000000000E+06,  1.03811687599174529E+08,  3.27483546065353304E+07, -5.55896457270135172E+06, -1.04057514152425554E+01,  3.33322821093853818E+01,  1.05723684246822103E+00, 255, 255, 255
# Earth system
EARTH           ,  5.97236248730555864E+24,  6.37101000000000000E+06, -1.43203085334955215E+08,  3.90951387046329305E+07, -1.80339651166740769E+04, -8.15537503919745532E+00, -2.88816060895463345E+01,  1.27511209648112377E-03, 255, 255, 255
MOON            ,  7.34602790007214514E+22,  1.73753000000000000E+06, -1.43517348467993140E+08,  3.88708512525994480E+07,  1.68130649549104346E+04, -7.61808693321010733E+00, -2.97409187631934948E+01,  2.10026306297983537E-02, 255, 255, 255
# Mars system
MARS            ,  6.41711746352094309E+23,  3.38992000000000000E+06, -1.68036325100435793E+08, -1.61913947174952507E+08,  6.99539767137348768E+05,  1.77515240667120082E+01, -1.53280888985578976E+01, -7.56992755410948237E-01, 255, 255, 255
PHOBOS          ,  1.00000000000000000E+00,  1.31000000000000000E+04, -1.68028899496169716E+08, -1.61918271378514409E+08,  6.95705884134985623E+05,  1.86374572756475878E+01, -1.34238388039706660E+01, -1.11179488884866906E+00, 93, 67, 192
DEIMOS          ,  1.00000000000000000E+00,  7.80000000000000000E+03, -1.68042391866822571E+08, -1.61891819572303832E+08,  7.04401785936824977E+05,  1.65758769971104769E+01, -1.57614252348432267E+01, -2.50514685641085144E-01, 188, 127, 80
# Jupiter system
JUPITER         ,  1.89818635777849371E+27,  6.99110000000000000E+07, -5.90944178168927908E+08, -5.54135189045835853E+08,  1.55164256760293860E+07,  8.78337307064819761E+00, -8.90853444069843015E+00, -1.59445516469714388E-01, 255, 255, 255
# Saturn system
SATURN          ,  5.68335863243896294E+26,  5.82320000000000000E+07,  5.76291934479983225E+07, -1.50352996556651855E+09,  2.38479757629297934E+07,  9.12039853465959993E+00,  3.39235515888614281E-01, -3.69023269863746894E-01, 255, 255, 255
# Uranus system
URANUS          ,  8.68126937466511234E+25,  2.53620000000000000E+07,  2.63374202231387281E+09,  1.38747277182344341E+09, -2.89674311894115843E+07, -3.22410576778298896E+00,  5.70766699933016142E+00,  6.30489858704770256E-02, 255, 255, 255
ARIEL           ,  1.00000000000000000E+00,  5.81100000000000000E+05,  2.63392753606136847E+09,  1.38743557430600333E+09, -2.89425763732404038E+07, -2.67216914389710869E+00,  4.83699128614214846E+00, -5.35149639938574673E+00, 125, 113, 177
UMBRIEL         ,  1.00000000000000000E+00,  5.84700000000000000E+05,  2.63397463281199360E+09,  1.38740633764349627E+09, -2.90806537914579548E+07, -5.28387547491199516E+00,  5.58094410147549791E+00, -4.10168621750147278E+00, 133, 108, 154
TITANIA         ,  1.00000000000000000E+00,  7.88900000000000000E+05,  2.63388352833482504E+09,  1.38749941811800432E+09, -2.85551176719855145E+07,  1.29637131574340536E-01,  4.81758663081918126E+00, -1.03858722880464338E+00, 168, 199, 188
OBERON          ,  1.00000000000000000E+00,  7.61400000000000000E+05,  2.63320328415372944E+09,  1.38761475954594851E+09, -2.87931715533187985E+07, -2.20793171948545819E+00,  5.90948633565583314E+00,  3.03757446614020044E+00, 187, 186, 195
MIRANDA         ,  1.00000000000000000E+00,  2.40000000000000000E+05,  2.63386878389020681E+09,  1.38745856254224181E+09, -2.89431216212153398E+07, -2.10598160325541217E+00,  4.64400702087090700E+00, -6.43683272536990891E+00, 177, 159, 90
CORDELIA        ,  1.00000000000000000E+00,  1.30000000000000000E+04,  2.63373216342714691E+09,  1.38746803542769814E+09, -2.90160984769599400E+07, -1.35698695984270987E+01,  8.22092580208627410E+00,  1.91562994979018208E+00, 199, 166, 96
OPHELIA         ,  1.00000000000000000E+00,  1.60000000000000000E+04,  2.63378721869431877E+09,  1.38746690631278396E+09, -2.89380063491284251E+07,  1.98992731623328734E+00,  3.37398385156565439E+00, -8.53136496209186390E+00, 91, 184, 188
BIANCA          ,  1.00000000000000000E+00,  2.20000000000000000E+04,  2.63377693218615437E+09,  1.38747166844786382E+09, -2.89196284956405759E+07,  4.49031147919770834E+00,  3.22584320198679464E+00, -5.61783940672187043E+00, 88, 97, 129
CRESSIDA        ,  1.00000000000000000E+00,  3.30000000000000000E+04,  2.63373624436331272E+09,  1.38748252540630651E+09, -2.89067837083037570E+07,  6.20353357719154275E+00,  3.81155302726632694E+00,  1.27072832731454954E+00, 125, 82, 149
DESDEMONA       ,  1.00000000000000000E+00,  2.90000000000000000E+04,  2.63379006002041149E+09,  1.38746773214807010E+09, -2.89275419572741427E+07,  2.60303054481612461E+00,  3.41042167357843073E+00, -7.23228959786839365E+00, 164, 139, 197
JULIET          ,  1.00000000000000000E+00,  4.20000000000000000E+04,  2.63369367281087494E+09,  1.38747753369687557E+09, -2.90096813608621955E+07, -9.15098743924198565E+00,  7.98484500718882284E+00,  7.12386719559656623E+00, 154, 167, 112
PORTIA          ,  1.00000000000000000E+00,  5.50000000000000000E+04,  2.63380581902475119E+09,  1.38745758705623102E+09, -2.89758834987401366E+07, -4.66521289424283570E+00,  4.74603500084031715E+00, -9.14006923890884160E+00, 185, 183, 145
ROSALIND        ,  1.00000000000000000E+00,  2.90000000000000000E+04,  2.63375103268016005E+09,  1.38748034857988262E+09, -2.88985457561664656E+07,  5.59891320752500743E+00,  3.65455770261120483E+00, -8.62877399149967306E-01, 177, 198, 91
BELINDA         ,  1.00000000000000000E+00,  3.40000000000000000E+04,  2.63371289761292601E+09,  1.38746950706154871E+09, -2.90368276920039020E+07, -1.11002597320048739E+01,  7.87605066166096890E+00,  3.27009014436841028E+00, 182, 85, 83
PUCK            ,  1.00000000000000000E+00,  7.70000000000000000E+04,  2.63381486516961622E+09,  1.38745142129387999E+09, -2.90079945398118496E+07, -7.22998851736722870E+00,  5.63410254103597818E+00, -7.10191496517022358E+00, 114, 109, 149
CALIBAN         ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.64134349532628059E+09,  1.38818238866680193E+09, -2.78424843909188546E+07, -3.09239526429398781E+00,  5.07385654707061473E+00, -4.61094110055520978E-01, 108, 160, 133
SYCORAX         ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.64124253041727066E+09,  1.38329892039250207E+09, -3.30255164079630375E+07, -3.85352035343238697E+00,  5.17679471459435980E+00,  3.20880869065265695E-01, 115, 131, 71
PROSPERO        ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.62758072407659101E+09,  1.39555625438857436E+09, -3.07686863291580081E+07, -2.63960092413201419E+00,  6.12904627877425145E+00, -4.32977777980330103E-01, 104, 144, 89
SETEBOS         ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.64180697418329334E+09,  1.41284742228986049E+09, -2.93274862540684901E+07, -2.96443822603933738E+00,  5.61417612764791762E+00, -1.08543661430917204E-01, 75, 78, 130
STEPHANO        ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.64202947446130323E+09,  1.38501433304820657E+09, -3.19722624951351918E+07, -3.52224524333579092E+00,  5.15877114920828550E+00, -3.20872494422276666E-01, 172, 146, 151
TRINCULO        ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.63036641094465446E+09,  1.37843523913712811E+09, -3.07643756241362132E+07, -3.91223259933545586E+00,  5.84261667033677412E+00,  1.49814002386231770E-01, 142, 175, 106
FRANCISCO       ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.63674265613895893E+09,  1.38859965976444077E+09, -2.69316136551376544E+07, -2.89401682122026660E+00,  4.44753545103182280E+00,  7.65141219101659331E-02, 160, 165, 66
MARGARET        ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.64023091265061712E+09,  1.38559056637924647E+09, -3.43132040798002556E+07, -3.44157459196210702E+00,  6.27230318206145210E+00,  8.23351635437466811E-01, 138, 136, 145
FERDINAND       ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.62535523192910242E+09,  1.36108646655509377E+09, -3.13817513639519885E+07, -3.57402715563119511E+00,  5.78867707608800774E+00,  1.30205691779166077E-01, 127, 103, 113
PERDITA         ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.63380323208287525E+09,  1.38745360860482717E+09, -2.90092840410718285E+07, -8.10275604208350053E+00,  5.77876391644622700E+00, -7.14320660227638715E+00, 179, 177, 170
MAB             ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.63378008227140474E+09,  1.38747691776695299E+09, -2.88772247860729173E+07,  3.65434277998336610E+00,  3.79418156762279812E+00, -2.75421914507314547E+00, 192, 150, 197
CUPID           ,  1.00000000000000000E+00,  1.00000000000000000E+00,  2.63381456389711666E+09,  1.38745784848818231E+09, -2.89617657350050211E+07, -2.83994396110863345E+00,  4.40002514844125869E+00, -8.68146489357917339E+00, 132, 175, 164
# Neptune system
NEPTUNE         ,  1.02412562109093295E+26,  2.46240000000000000E+07,  4.29903808423915482E+09, -1.25629578986986876E+09, -7.32046053651993871E+07,  1.48921423148281540E+00,  5.24973832117536165E+00, -1.42699167097798618E-01, 255, 255, 255
